,Revenue Growth,Gross Profit Growth,Net Income Growth,Operating Income,Revenue,Gross Profit,Gross Profit Ratio,operating Income Ratio,Net Income,Net Income Ratio,Stock price,Number of Shares,Market Capitalization,Price/Sales,Stock Price QoQ change,Revenue YoY,Gross Profit YoY,Net Income YoY,Stock Price SPY,Stock price QQQ,SPY Stock Price QoQ change,QQQ Stock Price QoQ change
0,6.59874116,15.52539449,1.56952728,1357928000,6148286000,2705579000,44.0054,22.0863,720196000,11.7138,485.8,453945000,2.21E+11,8.96699019,15.70799095,24.88606809,41.10231301,166.0986514,303.9899902,242.7700043,16.66794331,26.62737467
1,5.491735245,8.323078068,20.80123345,958256000,5767691000,2385990000,41.3682,16.6142,709067000,12.2938,419.85,452494000,1.90E+11,8.234647361,20.73675735,27.57578425,44.57233434,106.0929743,260.5599976,191.7200012,-18.70963762,-9.365100777
2,4.242765122,-6.780435457,-11.76620909,458512000,5467434000,2001411000,36.606,8.3862,586970000,10.7357,347.74,451372000,1.57E+11,7.177045909,19.31377595,30.58613881,79.0825982,338.2531695,320.5299988,211.5299988,8.298137466,12.64178409
3,6.536287181,11.97037329,145.7949381,980239000,5244905000,2146986000,40.9347,18.6894,665244000,12.6836,291.45,451552000,1.32E+11,6.272984468,-10.57895867,31.14229634,35.28582231,65.15491559,295.9700012,187.7899933,-0.239312213,-1.329347384
4,8.894596584,16.18301989,-21.33456571,706419000,4923116000,1917459000,38.9481,14.349,270650000,5.4975,325.93,452195000,1.47E+11,7.484280096,-12.03918605,25.99790136,18.5519352,-29.57325007,296.6799927,190.3200073,4.20793114,4.853734276
5,7.980981365,47.67280696,156.8817477,459084000,4520992000,1650378000,36.5048,10.1545,344052000,7.6101,370.54,451922000,1.67E+11,9.259869177,8.77120883,22.15925856,9.674242424,18.59772492,284.7000122,181.5099945,14.08078818,17.50501267
6,4.687408579,-29.57962934,-66.75214418,215767000,4186841000,1117591000,26.6929,5.1535,133934000,3.1989,340.66,451127000,1.54E+11,9.176424649,19.19107099,27.42227159,-5.160302105,-27.79838275,249.5599976,154.4700012,-14.56642701,-17.33825373
7,2.357246876,-1.878010613,4.809691192,480700000,3999400000,1587000000,39.681,12.0193,402800000,10.0715,285.81,451900000,1.29E+11,8.073557221,-14.67339384,33.98773828,59.99596734,210.8024691,292.1099854,186.8699951,7.346020356,8.639033245
8,5.577466402,7.484278443,32.47749238,462200000,3907300000,1617400000,41.3943,11.8291,384300000,9.8354,334.96,451600000,1.51E+11,9.678546311,7.200921718,40.2728415,83.12952899,485.8231707,272.1199951,172.0099945,4.212622628,8.798221294
9,12.63335215,27.69685362,56.38674623,446600000,3700900000,1504800000,40.6604,12.0673,290100000,7.8386,312.46,450400000,1.41E+11,9.50660542,12.07317073,40.36638095,53.61371989,62.79461279,261.1199951,158.1000061,16.19276469,31.81591036
